PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2017;2018;2019;2020;2021
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;deeltijd onderwijs;hbo bachelor;man;0;0;0;<5;<5
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;deeltijd onderwijs;hbo bachelor;vrouw;0;0;0;<5;<5
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;voltijd onderwijs;hbo bachelor;man;6;11;5;7;7
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);34116;B Social Work;voltijd onderwijs;hbo bachelor;vrouw;56;37;43;65;57
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80120;Ad Sociaal Werk in de Zorg;deeltijd onderwijs;hbo associate degree;man;0;0;<5;<5;0
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);80120;Ad Sociaal Werk in de Zorg;deeltijd onderwijs;hbo associate degree;vrouw;0;0;<5;9;6
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;deeltijd onderwijs;hbo bachelor;man;0;0;0;<5;<5
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;deeltijd onderwijs;hbo bachelor;vrouw;0;0;<5;6;13
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;voltijd onderwijs;hbo bachelor;man;<5;6;7;<5;<5
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;n.v.t. (gezondheidszorg);34560;B Opleiding tot Verpleegkundige;voltijd onderwijs;hbo bachelor;vrouw;37;54;41;40;29
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;n.v.t. (gezondheidszorg);34578;B Opleiding voor Logopedie;voltijd onderwijs;hbo bachelor;man;0;0;0;<5;0
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;n.v.t. (gezondheidszorg);34578;B Opleiding voor Logopedie;voltijd onderwijs;hbo bachelor;vrouw;28;23;26;38;19
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;deeltijd onderwijs;hbo bachelor;man;<5;0;0;0;<5
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;deeltijd onderwijs;hbo bachelor;vrouw;<5;<5;<5;16;14
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;man;<5;8;6;<5;6
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;vrouw;22;33;20;30;21
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;onderwijs;leraar basisonderwijs;80142;Ad Pedagogisch Educatief Professional;deeltijd onderwijs;hbo associate degree;man;0;0;<5;<5;<5
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;onderwijs;leraar basisonderwijs;80142;Ad Pedagogisch Educatief Professional;deeltijd onderwijs;hbo associate degree;vrouw;0;0;13;14;19
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;onderwijs;lerarenopleidingen speciaal onderwijs;44103;M Educational Needs;deeltijd onderwijs;hbo master;man;0;<5;5;<5;0
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;onderwijs;lerarenopleidingen speciaal onderwijs;44103;M Educational Needs;deeltijd onderwijs;hbo master;vrouw;0;11;11;10;<5
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);30020;B HBO-ICT;voltijd onderwijs;hbo bachelor;man;25;30;40;53;65
